加Q群,#genre#
加Q群:605625151,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://cdn.u55u.cn/migu.php?id=cctv1
CCTV2,http://bkpcp.ddns.net:8000/gehua.php?id=guangdong
CCTV2,http://cdn.u55u.cn/migu.php?id=cctv2
CCTV3,http://cdn.u55u.cn/migu.php?id=cctv3
CCTV4,http://cdn.u55u.cn/migu.php?id=cctv4
CCTV4欧洲,http://cdn.u55u.cn/migu.php?id=cctv4o
CCTV4美洲,http://cdn.u55u.cn/migu.php?id=cctv4a
CCTV5,http://cdn.u55u.cn/migu.php?id=cctv5
CCTV5+,http://cdn.u55u.cn/migu.php?id=cctv5p
CCTV6,http://cdn.u55u.cn/migu.php?id=cctv6
CCTV7,http://cdn.u55u.cn/migu.php?id=cctv7
CCTV8,http://cdn.u55u.cn/migu.php?id=cctv8
CCTV9,http://cdn.u55u.cn/migu.php?id=cctv9
CCTV10,http://cdn.u55u.cn/migu.php?id=cctv10
CCTV11,http://cdn.u55u.cn/migu.php?id=cctv11
CCTV12,http://cdn.u55u.cn/migu.php?id=cctv12
CCTV13,http://cdn.u55u.cn/migu.php?id=cctv13
CCTV14,http://cdn.u55u.cn/migu.php?id=cctv14
CCTV15,http://cdn.u55u.cn/migu.php?id=cctv15
CCTV17,http://cdn.u55u.cn/migu.php?id=cctv17
CCTV发现之旅,http://cdn.u55u.cn/migu.php?id=fxzl
CCTV老故事,http://cdn.u55u.cn/migu.php?id=lgs
CCTV中学生,http://cdn.u55u.cn/migu.php?id=zxs
CCTV西班牙语,http://cdn.u55u.cn/migu.php?id=cgtne
CCTV阿拉伯语,http://cdn.u55u.cn/migu.php?id=cgtna
CCTV法语,http://cdn.u55u.cn/migu.php?id=cgtnf
CCTV俄语,http://cdn.u55u.cn/migu.php?id=cgtnr

CCTV1,http://xxw.me0.cn/api/migu.php?id=1
CCTV2,http://xxw.me0.cn/api/migu.php?id=2
CCTV3,http://xxw.me0.cn/api/migu.php?id=3
CCTV4,http://xxw.me0.cn/api/migu.php?id=4
CCTV4欧洲,http://xxw.me0.cn/api/migu.php?id=5
CCTV4美洲,http://xxw.me0.cn/api/migu.php?id=6
CCTV5,http://xxw.me0.cn/api/migu.php?id=7
CCTV5+,http://xxw.me0.cn/api/migu.php?id=8
CCTV6,http://xxw.me0.cn/api/migu.php?id=9
CCTV7,http://xxw.me0.cn/api/migu.php?id=10
CCTV8,http://xxw.me0.cn/api/migu.php?id=11
CCTV9,http://xxw.me0.cn/api/migu.php?id=12
CCTV10,http://xxw.me0.cn/api/migu.php?id=13
CCTV11,http://xxw.me0.cn/api/migu.php?id=14
CCTV12,http://xxw.me0.cn/api/migu.php?id=15
CCTV13,http://xxw.me0.cn/api/migu.php?id=16
CCTV14,http://xxw.me0.cn/api/migu.php?id=17
CCTV15,http://xxw.me0.cn/api/migu.php?id=18
CCTV17,http://xxw.me0.cn/api/migu.php?id=19

吉林卫视,http://cdn.u55u.cn/migu.php?id=jlws
陕西卫视,http://cdn.u55u.cn/migu.php?id=sxws
海峡卫视,http://cdn.u55u.cn/migu.php?id=hxws
宁夏卫视,http://cdn.u55u.cn/migu.php?id=nxws
云南卫视,http://cdn.u55u.cn/migu.php?id=ynws
东方卫视,http://cdn.u55u.cn/migu.php?id=dfws
重庆卫视,http://cdn.u55u.cn/migu.php?id=cqws
内蒙古卫视,http://cdn.u55u.cn/migu.php?id=nmws
甘肃卫视,http://cdn.u55u.cn/migu.php?id=gsws
青海卫视,http://cdn.u55u.cn/migu.php?id=qhws
山东卫视,http://cdn.u55u.cn/migu.php?id=sdws
湖北卫视,http://cdn.u55u.cn/migu.php?id=hubws
江西卫视,http://cdn.u55u.cn/migu.php?id=jxws
江苏卫视,http://cdn.u55u.cn/migu.php?id=jsws
大湾区卫视,http://cdn.u55u.cn/migu.php?id=dwqws
广西卫视,http://cdn.u55u.cn/migu.php?id=gxws
贵州卫视,http://cdn.u55u.cn/migu.php?id=gzws
新疆卫视,http://cdn.u55u.cn/migu.php?id=xjws
西藏卫视,http://cdn.u55u.cn/migu.php?id=xzws
海南卫视,http://cdn.u55u.cn/migu.php?id=hinws

吉林卫视,http://t.zyk.rr.nu/v/m.php?id=jlws
东方卫视,http://t.zyk.rr.nu/v/m.php?id=dfws
重庆卫视,http://t.zyk.rr.nu/v/m.php?id=cqws
辽宁卫视,http://t.zyk.rr.nu/v/m.php?id=lnws
内蒙古卫视,http://t.zyk.rr.nu/v/m.php?id=nmws
宁夏卫视,http://t.zyk.rr.nu/v/m.php?id=nxws
甘肃卫视,http://t.zyk.rr.nu/v/m.php?id=gsws
青海卫视,http://t.zyk.rr.nu/v/m.php?id=qhws
陕西卫视,http://t.zyk.rr.nu/v/m.php?id=sxws
山东卫视,http://t.zyk.rr.nu/v/m.php?id=sdws
河南卫视,http://t.zyk.rr.nu/v/m.php?id=hnws
湖北卫视,http://t.zyk.rr.nu/v/m.php?id=hubws
湖南卫视,http://t.zyk.rr.nu/v/m.php?id=hunws
江西卫视,http://t.zyk.rr.nu/v/m.php?id=jxws
江苏卫视,http://t.zyk.rr.nu/v/m.php?id=jsws
广东卫视,http://t.zyk.rr.nu/v/m.php?id=gdws
大湾区卫视,http://t.zyk.rr.nu/v/m.php?id=dwqws
广西卫视,http://t.zyk.rr.nu/v/m.php?id=gxws
云南卫视,http://t.zyk.rr.nu/v/m.php?id=ynws
贵州卫视,http://t.zyk.rr.nu/v/m.php?id=gzws
新疆卫视,http://t.zyk.rr.nu/v/m.php?id=xjws
西藏卫视,http://t.zyk.rr.nu/v/m.php?id=xzws
海南卫视,http://t.zyk.rr.nu/v/m.php?id=hinws


CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
